timestamp,container_id,name,cpu_perc,mem_usage,mem_perc,net_io,block_io,pids
1755872303.415096855,4ab2f4d499aa,multi-proxy1,44.10%,91.31MiB / 31.15GiB,0.29%,5.25MB / 233kB,406kB / 0B,46
1755872303.415096855,f8cd685deea1,multi-proxy2,81.96%,113.6MiB / 31.15GiB,0.36%,12.2MB / 242kB,73.7kB / 0B,46
1755872306.957251839,87ffcb507c59,multi-proxy0,47.44%,112.8MiB / 31.15GiB,0.35%,13.8MB / 389kB,1.84MB / 0B,46
1755872306.957251839,4ab2f4d499aa,multi-proxy1,52.74%,95.93MiB / 31.15GiB,0.30%,6.06MB / 244kB,406kB / 0B,46
1755872306.957251839,f8cd685deea1,multi-proxy2,79.23%,122.8MiB / 31.15GiB,0.38%,13.5MB / 251kB,73.7kB / 0B,46
1755872310.492907300,87ffcb507c59,multi-proxy0,47.20%,116.5MiB / 31.15GiB,0.37%,15.1MB / 408kB,1.84MB / 0B,46
1755872310.492907300,4ab2f4d499aa,multi-proxy1,50.54%,102.6MiB / 31.15GiB,0.32%,7.41MB / 259kB,406kB / 0B,46
1755872310.492907300,f8cd685deea1,multi-proxy2,83.40%,120MiB / 31.15GiB,0.38%,14.5MB / 256kB,73.7kB / 0B,46
1755872314.029028850,87ffcb507c59,multi-proxy0,48.37%,120.5MiB / 31.15GiB,0.38%,16.2MB / 424kB,1.84MB / 0B,46
1755872314.029028850,4ab2f4d499aa,multi-proxy1,56.48%,108.4MiB / 31.15GiB,0.34%,8.48MB / 271kB,406kB / 0B,46
1755872314.029028850,f8cd685deea1,multi-proxy2,74.20%,130MiB / 31.15GiB,0.41%,15.6MB / 263kB,73.7kB / 0B,46
1755872317.566393299,87ffcb507c59,multi-proxy0,51.28%,123.5MiB / 31.15GiB,0.39%,16.8MB / 437kB,1.84MB / 0B,46
1755872317.566393299,4ab2f4d499aa,multi-proxy1,83.20%,111.7MiB / 31.15GiB,0.35%,9.53MB / 285kB,406kB / 0B,46
1755872317.566393299,f8cd685deea1,multi-proxy2,79.96%,135.3MiB / 31.15GiB,0.42%,17.1MB / 273kB,73.7kB / 0B,46
1755872321.099756037,87ffcb507c59,multi-proxy0,49.88%,126.8MiB / 31.15GiB,0.40%,17.9MB / 452kB,1.84MB / 0B,46
1755872321.099756037,4ab2f4d499aa,multi-proxy1,70.89%,116.2MiB / 31.15GiB,0.36%,10.6MB / 296kB,406kB / 0B,46
1755872321.099756037,f8cd685deea1,multi-proxy2,90.21%,143.4MiB / 31.15GiB,0.45%,18.7MB / 281kB,73.7kB / 0B,46
1755872324.633308915,87ffcb507c59,multi-proxy0,42.19%,134.5MiB / 31.15GiB,0.42%,19.1MB / 473kB,1.84MB / 0B,46
1755872324.633308915,4ab2f4d499aa,multi-proxy1,79.28%,120MiB / 31.15GiB,0.38%,11.3MB / 307kB,406kB / 0B,46
1755872324.633308915,f8cd685deea1,multi-proxy2,88.30%,150.6MiB / 31.15GiB,0.47%,20.1MB / 288kB,73.7kB / 0B,46
1755872328.176228666,87ffcb507c59,multi-proxy0,57.81%,138.7MiB / 31.15GiB,0.43%,20.2MB / 492kB,1.84MB / 0B,46
1755872328.176228666,4ab2f4d499aa,multi-proxy1,78.18%,126.4MiB / 31.15GiB,0.40%,12.6MB / 320kB,406kB / 0B,46
1755872328.176228666,f8cd685deea1,multi-proxy2,84.18%,154.7MiB / 31.15GiB,0.49%,21.2MB / 293kB,73.7kB / 0B,46
1755872331.716448341,87ffcb507c59,multi-proxy0,55.11%,139.4MiB / 31.15GiB,0.44%,20.8MB / 501kB,1.84MB / 0B,46
1755872331.716448341,4ab2f4d499aa,multi-proxy1,83.43%,128.8MiB / 31.15GiB,0.40%,13.4MB / 330kB,406kB / 0B,46
1755872331.716448341,f8cd685deea1,multi-proxy2,92.93%,168.5MiB / 31.15GiB,0.53%,23.1MB / 302kB,73.7kB / 0B,46
1755872334.245007100,87ffcb507c59,multi-proxy0,57.72%,142.3MiB / 31.15GiB,0.45%,21.8MB / 521kB,1.84MB / 0B,46
1755872334.245007100,4ab2f4d499aa,multi-proxy1,113.65%,142.6MiB / 31.15GiB,0.45%,14.5MB / 342kB,406kB / 0B,49
1755872334.245007100,f8cd685deea1,multi-proxy2,90.68%,170.2MiB / 31.15GiB,0.53%,24.6MB / 308kB,73.7kB / 0B,46
1755872337.776265150,87ffcb507c59,multi-proxy0,58.48%,148.4MiB / 31.15GiB,0.47%,22.8MB / 537kB,1.84MB / 0B,46
1755872337.776265150,4ab2f4d499aa,multi-proxy1,88.55%,143.1MiB / 31.15GiB,0.45%,15.6MB / 355kB,406kB / 0B,49
1755872337.776265150,f8cd685deea1,multi-proxy2,93.83%,180.7MiB / 31.15GiB,0.57%,26.8MB / 381kB,73.7kB / 0B,49
1755872341.309832606,87ffcb507c59,multi-proxy0,52.45%,147.1MiB / 31.15GiB,0.46%,23.7MB / 552kB,1.84MB / 0B,46
1755872341.309832606,4ab2f4d499aa,multi-proxy1,85.98%,146MiB / 31.15GiB,0.46%,16.6MB / 368kB,406kB / 0B,49
1755872341.309832606,f8cd685deea1,multi-proxy2,102.77%,181.1MiB / 31.15GiB,0.57%,28.8MB / 388kB,73.7kB / 0B,49
1755872344.843487243,87ffcb507c59,multi-proxy0,52.57%,154.8MiB / 31.15GiB,0.49%,24.7MB / 568kB,1.84MB / 0B,46
1755872344.843487243,4ab2f4d499aa,multi-proxy1,82.29%,147.5MiB / 31.15GiB,0.46%,17.1MB / 375kB,406kB / 0B,49
1755872344.843487243,f8cd685deea1,multi-proxy2,97.27%,194.4MiB / 31.15GiB,0.61%,31MB / 397kB,73.7kB / 0B,49
1755872347.384356702,87ffcb507c59,multi-proxy0,60.46%,156.3MiB / 31.15GiB,0.49%,25.5MB / 582kB,1.84MB / 0B,46
1755872347.384356702,4ab2f4d499aa,multi-proxy1,96.24%,147MiB / 31.15GiB,0.46%,18.2MB / 387kB,406kB / 0B,49
1755872347.384356702,f8cd685deea1,multi-proxy2,109.91%,194.2MiB / 31.15GiB,0.61%,33.2MB / 405kB,73.7kB / 0B,49
1755872350.922135800,87ffcb507c59,multi-proxy0,53.20%,156.6MiB / 31.15GiB,0.49%,26.4MB / 598kB,1.84MB / 0B,46
1755872350.922135800,4ab2f4d499aa,multi-proxy1,96.38%,155.4MiB / 31.15GiB,0.49%,19.3MB / 400kB,406kB / 0B,49
1755872350.922135800,f8cd685deea1,multi-proxy2,112.81%,206.8MiB / 31.15GiB,0.65%,34.9MB / 410kB,73.7kB / 0B,49
1755872354.452178140,87ffcb507c59,multi-proxy0,54.12%,157.7MiB / 31.15GiB,0.49%,27.7MB / 618kB,1.84MB / 0B,46
1755872354.452178140,4ab2f4d499aa,multi-proxy1,92.79%,160.3MiB / 31.15GiB,0.50%,20.1MB / 411kB,406kB / 0B,49
1755872354.452178140,f8cd685deea1,multi-proxy2,110.23%,206.1MiB / 31.15GiB,0.65%,36.9MB / 417kB,73.7kB / 0B,49
1755872357.985872405,87ffcb507c59,multi-proxy0,60.46%,163.2MiB / 31.15GiB,0.51%,28.8MB / 638kB,1.84MB / 0B,46
1755872357.985872405,4ab2f4d499aa,multi-proxy1,102.55%,165.1MiB / 31.15GiB,0.52%,21.4MB / 425kB,406kB / 0B,49
1755872357.985872405,f8cd685deea1,multi-proxy2,119.35%,210.7MiB / 31.15GiB,0.66%,38.6MB / 424kB,73.7kB / 0B,49
1755872361.525429563,87ffcb507c59,multi-proxy0,64.65%,171.1MiB / 31.15GiB,0.54%,29.7MB / 651kB,1.84MB / 0B,46
1755872361.525429563,4ab2f4d499aa,multi-proxy1,95.83%,171.4MiB / 31.15GiB,0.54%,22.4MB / 437kB,406kB / 0B,49
1755872361.525429563,f8cd685deea1,multi-proxy2,111.62%,219MiB / 31.15GiB,0.69%,40.8MB / 433kB,73.7kB / 0B,49
1755872365.058042694,87ffcb507c59,multi-proxy0,63.18%,171.9MiB / 31.15GiB,0.54%,31MB / 673kB,1.84MB / 0B,46
